21,26,20,5,22,22,37,14
26,9,38,5,12,15,17,16
36,33,22,31,5,7,28,14
12,14,26,20,19,35,36,20
30,36,16,7,14,20,7,20
20,5,19,25,37,6,27,9
39,36,28,6,12,27,5,29
4,38,2,6,31,3,20,0
2,3,17,28,35,18,31,20
36,37,11,6,4,12,13,24
30,30,34,3,7,12,8,39
38,37,28,6,22,10,27,19
17,2,2,12,19,13,12,18
7,5,18,3,20,14,33,6
24,3,18,29,21,5,20,5
25,12,21,12,8,11,4,38
31,22,1,25,3,32,28,25
24,23,35,6,3,36,11,29
2,26,17,23,9,25,37,3
9,33,38,30,2,36,21,1
21,22,14,18,4,9,1,16
29,13,30,7,10,14,8,3
23,5,10,5,18,35,23,4
9,0,15,32,19,12,16,31
36,28,34,21,33,5,3,38
36,33,26,33,8,7,38,2
31,36,9,20,24,26,18,37
23,27,16,11,30,13,37,36
15,13,31,2,34,0,32,23
13,19,6,2,29,7,9,27
34,10,14,28,5,22,8,26
2,37,33,23,12,24,33,5
25,32,13,15,15,21,4,2
25,38,25,36,16,33,27,36
19,19,33,5,35,4,13,18
12,2,10,4,23,11,22,10
19,7,24,2,39,37,25,13
19,23,15,36,13,9,1,26
27,2,0,0,28,27,36,37
33,5,0,1,33,17,10,2
